DataHora;Tipo;xid;pointName;alarmLevel;Mensagem
2026-07-08 09:27:36.6060;DATASOURCE;;;2;common.default|UFV Iramaia - CFTV - Câmera 4 - Falha de Comunicação|
2026-07-08 09:14:01.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 34 - Falha de comunicação geral|
2026-07-08 09:13:11.6060;DATASOURCE;;;3;common.default|UFV Gravatá - NCU 1 - Master - Alarme de Direção do Vento|
2026-07-08 09:13:11.6060;DATASOURCE;;;3;common.default|UFV Gravatá - NCU 1 - Master - Alarme de Segurança contra Vento|
2026-07-08 09:13:11.6060;DATASOURCE;;;3;common.default|UFV Gravatá - NCU 1 - Master - Falha de Comunicação com a unidade RSU|
2026-07-08 09:12:14.5900;DATAPOINT;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;1;event.login|apolo.scada|
2026-07-08 09:06:56.1310;DATAPOINT;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;1;event.login|admin|
2026-07-08 09:01:01.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 34 - Falha de comunicação geral|
2026-07-08 08:54:01.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 34 - Falha de comunicação geral|
2026-07-08 08:46:31.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 30 - Falha de comunicação geral|
2026-07-08 08:46:26.6060;DATASOURCE;;;2;common.default|UFV Iramaia - CFTV - Câmera 4 - Falha de Comunicação|
2026-07-08 08:40:46.6060;DATASOURCE;;;2;common.default|UFV Gravatá - CFTV - Câmera 11 - Falha de Comunicação|
2026-07-08 08:40:31.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 30 - Falha de comunicação geral|
2026-07-08 08:35:01.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 24 - Falha de comunicação geral|
2026-07-08 08:35:01.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 30 - Falha de comunicação geral|
2026-07-08 08:32:48.2060;DATAPOINT;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;1;event.login|admin|
2026-07-08 08:31:31.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 24 - Falha de comunicação geral|
2026-07-08 08:21:37.2080;DATAPOINT;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;IRA_Inv_1.1_CAL_Fator de Capacidade Diário;1;event.login|admin|
2026-07-08 08:19:31.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 30 - Falha de comunicação geral|
2026-07-08 08:18:46.6060;DATASOURCE;;;3;common.default|UFV Gravatá - NCU 1 - Master - Falha de Comunicação com a unidade RSU|
2026-07-08 08:18:46.6060;DATASOURCE;;;3;common.default|UFV Gravatá - NCU 1 - Master - Alarme de Segurança contra Vento|
2026-07-08 08:18:46.6060;DATASOURCE;;;3;common.default|UFV Gravatá - NCU 1 - Master - Alarme de Direção do Vento|
2026-07-08 08:16:31.6060;DATASOURCE;;;3;common.default|UFV Rio do Peixe I - NCU 1 - Tracker 30 - Falha de comunicação geral|
